time,px,py,pz,vx,vy,vz,ax,ay,az,jx,jy,jz
0.0,-0.009955950481661249,7.952820413610484,19.989345577579613,-0.14933925722491873,-0.7076937958427407,-0.15981633630582814,-1.493392572249187,-7.076937958427407,-1.5981633630582812,-7.466962861245935,-35.38468979213703,-7.990816815291406
0.2,-0.0669585904653229,7.684581571085638,19.928295811903112,-0.40702182808016846,-1.9005012503444603,-0.4362974762300243,-1.0834331363033107,-4.85113658658979,-1.16664803618368,2.0497971797293815,11.129006859188085,2.1575766343730067
0.4,-0.16784077505742923,7.219065694974333,19.820006424284568,-0.5908457990909266,-2.6966219823216733,-0.6350810581997055,-0.7548065738042706,-3.1100707331823414,-0.8211877835131314,1.6431328124952007,8.705329267037245,1.7273012633527425
0.6000000000000001,-0.29937284177894935,6.6264653624337475,19.678385424452504,-0.7158087452605215,-3.1847539501471998,-0.7720341027302354,-0.4948228878916781,-1.7712489450729214,-0.5483426617921674,1.2999184295629627,6.6941089405471,1.3642256086048195
0.8,-0.45108016648960836,5.9608131433023965,19.514426328041804,-0.7945100913496754,-3.438150492168576,-0.8604839745208404,-0.2921905729998611,-0.7627164751408415,-0.33615605611388144,1.013161574459085,5.042662349660399,1.0609330283914298
1.0,-0.6147912959864713,5.262864237713608,19.336686645482533,-0.8374277024536066,-3.5166609519805903,-0.911511683735984,-0.13698553803945113,-0.022388122979300706,-0.1741210360375551,0.7760251748020499,3.701641760807704,0.8101751003816317
1.2000000000000002,-0.78424053621225,4.562585218934466,19.151708637634005,-0.8531846446755212,-3.468624565428025,-0.9342346466522057,-0.020583884179694867,0.5027519885049527,-0.05310859312466182,0.5820082692987812,2.625700557421267,0.6050622145644664
1.4000000000000001,-0.9547223915198824,3.881280458318736,18.96438511953194,-0.8488001518454745,-3.3325974772303906,-0.9360726189140514,0.06442881248016258,0.8575188934713935,0.034728870506205184,0.4250634832992872,1.7738345248322036,0.439187318154335
1.6,-1.1227942914620503,3.2333906492277795,18.778274103857623,-0.829921076689589,-3.1389040712507073,-0.9229928843372354,0.1243619390786933,1.07941516632544,0.09606847526195465,0.2996656329926536,1.1094813642702328,0.30669802377874733
1.8,-1.2860234769513437,2.6279987315492157,18.595866669302815,-0.8010318228680906,-2.9110121393095865,-0.8997325971738714,0.1645305991362907,1.1995041530857689,0.13653439637168457,0.200843300287987,0.6004449338016435,0.20232960554864968
2.0,-1.4427736521766248,2.0700779831541083,18.41881271657293,-0.7656420425566645,-2.666737362616018,-0.8699975362376587,0.18936720397797158,1.2432436138499166,0.16081621299044258,0.12418302420840437,0.21869730382073882,0.12140908309378992
2.2,-1.592026964776312,1.5615155168059898,18.248109318389943,-0.7264523242797744,-2.4192866313747334,-0.8366375215685293,0.20252997879093,1.2312636985629326,0.1727839337008506,0.06581387406479212,-0.059899576434919825,0.05983860355204007
2.4000000000000004,-1.7332369919555348,1.101942237547462,18.084256245610117,-0.6854987570078921,-2.178152295984743,-0.8017994419303469,0.20700569392789228,1.180079655336975,0.1755968626809734,0.02237857568481144,-0.25592021612978827,0.014064644900614045
2.6,-1.8662086347793048,0.689397737721243,17.927383012009688,-0.6442776977335566,-1.9498708709574932,-0.7670593064138763,0.20520489881546225,1.1027345949355207,0.1718044924837322,-0.009003975562150145,-0.3867253020072714,-0.018961850986206095
2.8000000000000003,-1.9910011178059206,0.3208558334115092,17.777351466600138,-0.6038523398136714,-1.738660282224573,-0.7335350175638605,0.19904868038338913,1.0093712923936824,0.1634383960164262,-0.030781092160365616,-0.46681651270919217,-0.041830482336529924
3.0,-2.1078506264978207,-0.007366374854020045,17.63383760625963,-0.5649428187894956,-1.5469496887731604,-0.7019817095815102,0.19004652985836915,0.9077346421204412,0.15209468380707802,-0.04501075262509999,-0.5081832513662058,-0.05671856104674088
3.2,-2.2171094677560186,-0.2992957960187575,17.49639590698848,-0.5280016342798115,-1.3758154041367858,-0.6728715382849357,0.17936531523847157,0.8036082042433043,0.13900702915866686,-0.05340607309948787,-0.5206321893856846,-0.06543827324205585
3.4000000000000004,-2.3191989927355583,-0.559069504374594,17.36450909688183,-0.4932761376573199,-1.2253356374883055,-0.6464597779457643,0.16788965098644412,0.7011894622414968,0.12511057423304714,-0.05737832126013731,-0.5120937100090371,-0.06948227462809861
3.6,-2.414573863879441,-0.7907647117054576,17.237625930553232,-0.46085975694225073,-1.0948757812104912,-0.6228389964607115,0.1562741561642475,0.6034091005366446,0.11109724061748066,-0.0580774741109831,-0.4889018085242605,-0.07006666807783234
3.8000000000000003,-2.503695571731872,-0.9982797471041898,17.115189181805363,-0.4307335195183842,-0.983314878613665,-0.6019829623583686,0.1449882180744183,0.5121999254316176,0.09746310040594966,-0.056429690449146,-0.45604587552513487,-0.06817070105765499
4.0,-2.5870134064103083,-1.1852552498802271,16.996655754248604,-0.40279930294721483,-0.8892227769563952,-0.5837817986752002,0.13435394763727526,0.4287210911410799,0.08454853642573418,-0.053171352185715275,-0.4173941714526885,-0.06457281990107738
4.2,-2.6649513607692987,-1.3550265698353172,16.881510521318205,-0.37690610425415755,-0.8109963545276696,-0.568069750248176,0.12457803929329805,0.35354313314617625,0.0725719478445079,-0.04887954171988607,-0.3758897899745185,-0.05988294290613135
4.4,-2.737899686138902,-1.510599938858244,16.76927524892037,-0.35287047596505644,-0.746962139603178,-0.554646780255647,0.11577824359771305,0.2867990160987393,0.061657752080781836,-0.04399897847792502,-0.3337205852371847,-0.054570978818630336
