time:,Px,Py,Pz,Vx,Vy,Vz,Ax,Ay,Az,Jx,Jy,Jz,Sx,Sy,Sz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,1.6666666666666669e-06,1.6666666666666669e-06,1.0000000000000002e-06,0.0005,0.0005,0.00030000000000000003,0.1,0.1,0.06,10.0,10.0,6.0,0.0,0.0,0
0.02,1.3333333333333335e-05,1.3333333333333335e-05,8.000000000000001e-06,0.002,0.002,0.0012000000000000001,0.2,0.2,0.12,10.0,10.0,6.0,0.0,0.0,0
0.03,4.5e-05,4.5e-05,2.7000000000000006e-05,0.0045000000000000005,0.0045000000000000005,0.0027,0.30000000000000004,0.30000000000000004,0.18,10.0,10.0,6.0,0.0,0.0,0
0.04,0.00010666666666666667,0.00010666666666666667,6.400000000000001e-05,0.008000000000000002,0.008000000000000002,0.0048000000000000004,0.4,0.4,0.24,10.0,10.0,6.0,0.0,0.0,0
0.05,0.00020833333333333335,0.00020833333333333335,0.000125,0.012500000000000002,0.012500000000000002,0.0075,0.5,0.5,0.3,10.0,10.0,6.0,0.0,0.0,0
0.060000000000000005,0.0003600000000000001,0.0003600000000000001,0.000216,0.018000000000000002,0.018000000000000002,0.010799999999999999,0.6,0.6,0.36,10.0,10.0,6.0,0.0,0.0,0
0.07,0.0005716666666666667,0.0005716666666666667,0.000343,0.0245,0.0245,0.0147,0.7,0.7,0.42,10.0,10.0,6.0,0.0,0.0,0
0.08,0.0008533333333333333,0.0008533333333333333,0.000512,0.032,0.032,0.019200000000000002,0.7999999999999999,0.7999999999999999,0.48,10.0,10.0,6.0,0.0,0.0,0
0.09,0.001215,0.001215,0.000729,0.0405,0.0405,0.024300000000000002,0.8999999999999999,0.8999999999999999,0.54,10.0,10.0,6.0,0.0,0.0,0
0.09999999999999999,0.0016666666666666666,0.0016666666666666666,0.001,0.05,0.05,0.030000000000000006,0.9999999999999999,0.9999999999999999,0.6000000000000001,10.0,10.0,6.0,0.0,0.0,0
0.10999999999999999,0.0022183333333333334,0.0022183333333333334,0.0013310000000000002,0.0605,0.0605,0.036300000000000006,1.0,1.0,0.6600000000000001,10.0,10.0,6.0,0.0,0.0,0
0.11999999999999998,0.0028750000000000004,0.0028750000000000004,0.0017280000000000002,0.071,0.071,0.04320000000000001,1.0,1.0,0.7200000000000002,10.0,10.0,6.0,0.0,0.0,0
0.12999999999999998,0.0036366666666666674,0.0036366666666666674,0.0021970000000000006,0.08149999999999999,0.08149999999999999,0.050700000000000016,1.0,1.0,0.7800000000000002,10.0,10.0,6.0,0.0,0.0,0
0.13999999999999999,0.004503333333333333,0.004503333333333333,0.0027440000000000008,0.09199999999999998,0.09199999999999998,0.05880000000000002,1.0,1.0,0.8400000000000003,10.0,10.0,6.0,0.0,0.0,0
0.15,0.005474999999999999,0.005474999999999999,0.003375000000000001,0.10249999999999998,0.10249999999999998,0.06750000000000002,1.0,1.0,0.9000000000000004,10.0,10.0,6.0,0.0,0.0,0
0.16,0.006551666666666665,0.006551666666666665,0.004096000000000001,0.11299999999999998,0.11299999999999998,0.07680000000000002,1.0,1.0,0.9600000000000004,10.0,10.0,6.0,0.0,0.0,0
0.17,0.007733333333333331,0.007733333333333331,0.004913000000000002,0.12349999999999997,0.12349999999999997,0.08670000000000003,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.18000000000000002,0.009019999999999997,0.009019999999999997,0.005831000000000002,0.13399999999999998,0.13399999999999998,0.09700000000000002,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.19000000000000003,0.010411666666666663,0.010411666666666663,0.006852000000000002,0.1445,0.1445,0.1073,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.20000000000000004,0.01190833333333333,0.01190833333333333,0.007976,0.155,0.155,0.1176,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.21000000000000005,0.013509999999999996,0.013509999999999996,0.009203,0.1655,0.1655,0.12789999999999999,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.22000000000000006,0.015216666666666663,0.015216666666666663,0.010532999999999999,0.17600000000000002,0.17600000000000002,0.1382,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.23000000000000007,0.017028333333333333,0.017028333333333333,0.011965999999999997,0.18650000000000003,0.18650000000000003,0.1485,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.24000000000000007,0.018945,0.018945,0.013501999999999997,0.19700000000000004,0.19700000000000004,0.1588,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.25000000000000006,0.020966666666666668,0.020966666666666668,0.015140999999999995,0.20750000000000005,0.20750000000000005,0.1691,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.26000000000000006,0.023093333333333337,0.023093333333333337,0.016883,0.21800000000000005,0.21800000000000005,0.1794,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.2700000000000001,0.025325000000000007,0.025325000000000007,0.018728,0.22850000000000006,0.22850000000000006,0.1897,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.2800000000000001,0.027661666666666678,0.027661666666666678,0.020676000000000003,0.23900000000000007,0.23900000000000007,0.2,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.2900000000000001,0.030103333333333347,0.030103333333333347,0.022727000000000004,0.24950000000000008,0.24950000000000008,0.21030000000000001,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.3000000000000001,0.03265000000000001,0.03265000000000001,0.024881000000000007,0.26000000000000006,0.26000000000000006,0.22060000000000002,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.3100000000000001,0.035301666666666676,0.035301666666666676,0.02713800000000001,0.2705000000000001,0.2705000000000001,0.23090000000000002,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.3200000000000001,0.03805833333333334,0.03805833333333334,0.02949800000000001,0.2810000000000001,0.2810000000000001,0.24120000000000003,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.3300000000000001,0.040920000000000005,0.040920000000000005,0.03196100000000001,0.2915000000000001,0.2915000000000001,0.25150000000000006,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.34000000000000014,0.04388666666666667,0.04388666666666667,0.034527000000000016,0.3020000000000001,0.3020000000000001,0.2618000000000001,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.35000000000000014,0.04695833333333334,0.04695833333333334,0.03719600000000002,0.3125000000000001,0.3125000000000001,0.2721000000000001,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.36000000000000015,0.050135000000000006,0.050135000000000006,0.039968000000000024,0.3230000000000001,0.3230000000000001,0.28240000000000015,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.37000000000000016,0.053416666666666675,0.053416666666666675,0.04284300000000003,0.33350000000000013,0.33350000000000013,0.2927000000000002,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.38000000000000017,0.05680333333333334,0.05680333333333334,0.04582100000000003,0.34400000000000014,0.34400000000000014,0.3030000000000002,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.3900000000000002,0.060295,0.060295,0.048902000000000036,0.35450000000000015,0.35450000000000015,0.31330000000000024,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.4000000000000002,0.06389166666666667,0.06389166666666667,0.05208600000000004,0.36500000000000016,0.36500000000000016,0.3236000000000003,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.4100000000000002,0.06759333333333332,0.06759333333333332,0.05537300000000005,0.37550000000000017,0.37550000000000017,0.3339000000000003,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.4200000000000002,0.07139999999999999,0.07139999999999999,0.05876300000000005,0.3860000000000002,0.3860000000000002,0.34420000000000034,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.4300000000000002,0.07531166666666665,0.07531166666666665,0.062256000000000054,0.3965000000000002,0.3965000000000002,0.35450000000000037,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.4400000000000002,0.0793283333333333,0.0793283333333333,0.06585200000000005,0.4070000000000002,0.4070000000000002,0.3648000000000004,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.45000000000000023,0.08344999999999997,0.08344999999999997,0.06955100000000004,0.4175000000000002,0.4175000000000002,0.37510000000000043,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
0.46000000000000024,0.08767666666666663,0.08767666666666663,0.07335300000000004,0.4280000000000002,0.4280000000000002,0.38540000000000046,1.0,1.0,1.0,10.0,10.0,6.0,0.0,0.0,0
